time, protocol, source_port, destination_port, fin_flag, syn_flag, push_flag, ack_flag, urgent_flag, target
2020-02-26 15:50:00.851563,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.852584,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.852606,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.853546,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.854902,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.854925,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.855843,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.856849,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.856872,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.858259,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.859244,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.859264,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.860230,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.861697,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.861718,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.862686,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.863645,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.863666,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.864954,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.865889,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.865914,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.866866,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.868091,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.868108,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.869628,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.870202,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.870222,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.871353,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.872508,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.873058,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.873826,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.875042,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.875062,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.875989,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.876990,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.877010,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.878216,6,443,41014,0,0,0,1,0,normal
2020-02-26 15:50:00.878487,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.878506,6,41014,443,0,0,0,1,0,normal
2020-02-26 15:50:00.881144,6,41014,443,1,0,0,1,0,normal
2020-02-26 15:50:00.906601,6,443,41014,0,0,1,1,0,normal
2020-02-26 15:50:00.906639,6,41014,443,0,0,0,0,0,normal
2020-02-26 15:50:00.906663,6,443,41014,1,0,0,1,0,normal
2020-02-26 15:50:00.906674,6,41014,443,0,0,0,0,0,normal
2020-02-26 15:50:00.941584,17,49157,6666,0,0,0,0,0,normal
2020-02-26 15:50:02.892555,17,48863,53,0,0,0,0,0,normal
2020-02-26 15:50:02.926299,17,53,48863,0,0,0,0,0,normal
2020-02-26 15:50:02.926808,6,60482,443,0,1,0,0,0,normal
2020-02-26 15:50:03.029437,6,443,60482,0,1,0,1,0,normal
2020-02-26 15:50:03.029478,6,60482,443,0,0,0,1,0,normal
2020-02-26 15:50:03.049573,6,60482,443,0,0,1,1,0,normal
2020-02-26 15:50:03.197069,6,443,60482,0,0,0,1,0,normal
2020-02-26 15:50:03.197094,6,443,60482,0,0,0,1,0,normal
2020-02-26 15:50:03.197107,6,60482,443,0,0,0,1,0,normal
2020-02-26 15:50:03.197131,6,443,60482,0,0,1,1,0,normal
2020-02-26 15:50:03.197139,6,60482,443,0,0,0,1,0,normal
2020-02-26 15:50:03.197151,6,443,60482,0,0,1,1,0,normal
2020-02-26 15:50:03.197157,6,60482,443,0,0,0,1,0,normal
2020-02-26 15:50:03.199081,6,60482,443,0,0,1,1,0,normal
2020-02-26 15:50:03.304652,6,443,60482,0,0,1,1,0,normal
2020-02-26 15:50:03.305447,6,60482,443,0,0,1,1,0,normal
